14555	0	14556
14555	0	14557
14555	0	14558
14555	0	14559
14555	0	14560
14555	0	14561
14555	0	14562
14555	0	14563
14555	0	14564
14555	0	14565
14555	0	14566
14555	0	14567
14555	0	14568
14555	0	14569
14555	0	14570
14555	0	14571
14555	0	14572
14555	0	14573
14555	0	14574
14555	0	14575
14555	0	14576
14555	0	14577
14555	0	14578
14555	0	14579
14555	0	14580
14555	0	14581
14555	0	14582
14555	0	14583
14555	0	14584
14555	0	14585
14555	0	14586
14555	0	14587
14555	0	14588
14555	0	14589
14555	0	14590
14555	0	14591
14555	0	14592
14555	0	14593
14555	0	14594
14555	0	14595
14555	0	14596
14555	0	14597
14555	0	14598
14555	0	14599
14555	0	14600
14555	0	14601
14555	0	14602
14555	0	14603
14555	0	14604
14555	0	14605
14555	0	14606
14555	0	14607
14555	0	14608
14555	0	14609
14555	0	14610
14555	0	14611
14555	0	14612
14555	0	14613
14555	0	14614
14555	0	14615
14555	0	14616
14555	0	14617
14555	0	14618
14555	0	14619
14555	0	14620
14555	0	14621
14555	0	14622
14555	0	14623
14555	0	14624
14555	0	14625
14555	0	14626
14555	0	14627
14555	0	14628
14555	0	14629
14555	0	14630
14555	0	14631
14555	0	14632
14555	0	14633
14555	0	14634
14555	0	14635
14555	0	14636
14555	0	14637
14555	0	14638
14555	0	14639
14555	0	14640
14555	0	14641
14555	0	14642
14555	0	14643
14555	0	14644
14555	0	14645
14555	0	14646
14555	0	14647
14555	0	14648
14555	0	14649
14555	0	14650
14555	0	14651
14555	0	14652
14555	0	14653
14555	0	14654
14555	0	14655
14555	0	14656
14555	0	14657
14555	0	14658
14555	0	14659
14555	0	14660
14555	0	14661
14555	0	14662
14555	0	14663
14555	0	14664
14555	0	14665
14555	0	14666
14555	0	14667
14555	0	14668
14555	0	14669
14555	0	14670
14555	0	14671
14555	0	14672
14555	0	14673
14555	0	14674
14555	0	14675
14555	0	14676
14555	0	14677
14555	0	14678
14555	0	14679
14555	0	14680
14555	0	14681
14555	0	14682
14555	0	14683
14555	0	14684
14555	0	14685
14555	0	14686
14555	0	14687
14555	0	14688
14555	0	14689
14555	0	14690
14555	0	14691
14555	0	14692
14555	0	14693
14555	0	14694
14555	0	14695
14555	0	14696
14555	0	14697
14555	0	14698
14555	0	14699
14555	0	14700
14555	0	14701
14555	0	14702
14555	0	14703
14555	0	14704
14555	0	14705
14555	0	14706
14555	0	14707
14555	0	14708
