node_id;label;entity_id
84;ҮйлАжиллагааныЧиглэл;Зам гүүр барих
85;Оролцогч;CCTEG SHENYANG ENGINEERING COMPANY ХХК
86;ҮйлАжиллагааныЧиглэл;Хөнгөн ба хүнд үйлдвэр, уул уурхайн технилогийн зураг төсөл
87;Оролцогч;CHANGSHA PLANNING & DESIGN INSTITUTE CO.,LTD. ХХК
88;ҮйлАжиллагааныЧиглэл;Улаанбаатар хотод интернэт телефоны үйлчилгээ, интернэтийн станц
89;Оролцогч;CHENGDE HAOSEN MUNICIPAL ENGINEERING  ХК
90;ҮйлАжиллагааныЧиглэл;Уул уурхайн чиглэлээр зөвлөгөө өгөх
91;Оролцогч;CHINA FIRST HIGHWAY ENGINEERING COMPANY LIMITED ХХК
92;ҮйлАжиллагааныЧиглэл;Дэд бүтэц
93;Оролцогч;CHINA RAILWAY DESIGN CORPORATION ХХК
94;ҮйлАжиллагааныЧиглэл;Төмөр замын зураг төсөл, зохиох, болосвруулах
95;Оролцогч;CHINA RAILWAY ERYUAN ENGINEERING GROUP CO.,LTD. ТӨҮГ
96;ҮйлАжиллагааныЧиглэл;Барилга угсралтын ажил
97;Оролцогч;COBA - Consultores de Engenharia e Ambiente, S.A. ХХК
98;ҮйлАжиллагааныЧиглэл;Инженерчлэлийн зөвлөгөө өгөх
99;Оролцогч;CRRC Zhuzhou Locomotive Co Ltd ХХК
100;Оролцогч;CRSC Research & Design Institute Group Co.,Ltd ХХК
101;ҮйлАжиллагааныЧиглэл;Төмөр замын техник тоног төхөөрөмжийн худалдаа
102;Оролцогч;CSCEC AECOM Consultant CO., Ltd ХХК
103;ҮйлАжиллагааныЧиглэл;Зам гүүрийн барилга байгууламжийн зөвлөх үйлчилгээ
104;Оролцогч;Cementation - Terra Nova ХХК
105;ХөрөнгөОруулагч;Канад
106;Оролцогч;Centro de Estudios de Materiales y Control de Obra SA  CEMOSA Мэргэжлийн байгууллага
107;ҮйлАжиллагааныЧиглэл;Авто тээврийн чиглэлээр лавлах үйлчилгээ эрхлэхэд 1-900-1973 тусгай дугаар ашиглах
108;Оролцогч;Chengdu Design Research Institute of Building Materials Industry ХХК
109;ҮйлАжиллагааныЧиглэл;Барилга угсралтын ажилБарилгын зураг төсөлБарилгын инженерингийн зөвлөгөөУул уурхайн тоног төхөөрөмжийн  худалдааУул уурхайн тоног төхөөрөмжийн худалдааУул уурхайн чиглэлээр зөвлөгөө өгөхЦахилгаан тоног төхөөрөмж угсралт
110;Оролцогч;Chengli Special Automobile Co.,Ltd ХК
111;ҮйлАжиллагааныЧиглэл;Тусгай зориулалтын машин механизмын худалдаа, засвар үйлчилгээ
112;Оролцогч;China Civil Engineering Construction Corporation ХК
113;Оролцогч;China Coal Xian Design Engineering Co., Ltd ХХК
114;Оролцогч;China Design Group Co Limited ХХК
115;ҮйлАжиллагааныЧиглэл;Барилгын зураг төсөл 1.1.2, 1.2.2, 1.2.4, 1.2.5, 1.2.6, 1.3.1, 1.3.2, 1.3.3 заалтын дагуу /2016.03.03-2019.03.03/
116;Оролцогч;China Guangzhou International Economic and Technical Cooperation Co.,Ltd ХХК
117;ҮйлАжиллагааныЧиглэл;Авто зам барилга
118;Оролцогч;China North Vehicle Corporation ltd ХХК
119;ҮйлАжиллагааныЧиглэл;Авто худалдаа/ засвар
120;Оролцогч;China Railway 20th Bureau Group Co., Ltd ХХК
121;Оролцогч;China Railway 21st Bureau Group Co.,Ltd ХХК
122;ҮйлАжиллагааныЧиглэл;Төмөр замын зураг төсөл боловсруулах
123;Оролцогч;China Railway Construction Corporation (International) Limited ХХК
124;ҮйлАжиллагааныЧиглэл;Төсөл хэрэгжүүлэх
125;Оролцогч;China Railway Engineering Consulting Group Co., Ltd. ХХК
126;ҮйлАжиллагааныЧиглэл;Төмөр замын зураг төсөл зохиох, боловсруулах үйл ажиллагаа
127;Оролцогч;China Railway Fifth Survey and Design Institute Group Co., Ltd. (CRFSD) ТӨҮГ
128;Оролцогч;China Railway First Survey and Design Institute Group Co., Ltd. ХХК
129;ҮйлАжиллагааныЧиглэл;Барилгын зураг төсөл боловсруулах
130;Оролцогч;China Railway Group Limited ТӨҮГ
131;Оролцогч;China Railway International Group ХХК
132;Оролцогч;China Railway Liuyuan Group Co., Ltd. ХК
133;ҮйлАжиллагааныЧиглэл;Инженер геологи,гидрогеологийн хайгуул, барилгын зураг төсөв
134;Оролцогч;China Railway Sixth Group Co., Ltd ТӨҮГ
