0	24973
1	59062
2	63332
3	68753
4	54791
5	35678
6	30226
7	37471
8	39020
9	57357
10	37781
11	48710
12	40092
13	43939
14	64223
15	33095
16	50769
17	68897
18	30099
19	41694
20	42785
21	66563
22	57167
23	71341
24	47710
25	64220
26	40104
27	27171
28	53016
29	53017
30	74637
31	26414
32	53512
33	53513
34	53514
35	38304
36	55339
37	66555
38	27844
39	38630
40	57629
41	38181
42	46950
43	45670
44	36525
45	41706
46	47239
47	25518
48	30427
49	40150
50	58616
51	35307
52	68785
53	31846
54	34358
55	37826
56	32567
57	37094
58	48330
59	42768
60	35096
61	60889
62	29951
63	35999
64	26752
65	28663
66	54792
67	47333
68	29643
69	45999
70	24656
71	56351
72	34785
73	53583
74	44298
75	26331
76	68353
77	42478
78	61761
79	44672
80	30768
81	39805
82	26332
83	69861
84	60551
85	62828
86	30878
87	73171
88	70740
89	33723
90	57172
91	45916
92	64879
93	52142
94	42907
95	52951
96	70323
97	26333
98	40712
99	40713
100	40714
101	40715
102	40716
103	40717
104	40718
105	40719
106	37888
107	28630
108	45934
109	28631
110	63871
111	38529
112	65934
113	41699
114	30227
115	26753
116	51357
117	39725
118	74598
119	62588
120	70701
121	55267
122	65717
123	62443
124	73701
125	74599
126	55720
127	56431
128	31066
129	44572
130	44573
131	44574
132	44575
133	65718
134	67267
135	56747
136	44826
137	47716
138	24657
139	74391
140	47607
141	31950
142	64880
143	36882
144	61162
145	44535
146	64694
147	64769
148	33521
149	64422
150	36377
151	24970
152	58733
153	55410
154	24932
155	26417
156	45434
157	37343
158	55346
159	58734
160	47274
161	43422
162	37689
163	38977
164	65644
165	60740
166	73703
167	29247
168	47732
169	36378
170	74004
171	48266
172	69846
173	62084
174	35922
175	59808
176	49738
177	45622
178	35609
179	40247
180	37827
181	69423
182	73880
183	37472
184	53092
185	37358
186	31951
187	59582
188	56352
189	36842
190	46411
191	24974
192	52483
193	29442
194	33017
195	36843
196	35987
197	36982
198	43089
199	35097
200	66189
201	47275
202	27447
203	69945
204	66291
205	24835
206	50445
207	58032
208	31801
209	45616
210	26754
211	29870
212	70242
213	61048
214	31697
215	41740
216	30834
217	31932
218	49693
219	39204
220	38947
221	47577
222	72006
223	52952
224	46989
225	38587
226	63894
227	57080
228	46229
229	52484
230	28361
231	47649
232	67273
233	61018
234	74461
235	36364
236	47608
237	53850
238	63872
239	56914
240	56915
241	59319
242	31952
243	35027
244	62251
245	33762
246	70741
247	44973
248	53373
249	38631
250	59468
251	70841
252	30483
253	32424
254	33714
255	67638
256	31067
257	58726
258	72007
259	35098
260	39254
261	36844
262	62859
263	26755
264	67790
265	30554
266	58735
267	41518
268	53864
269	41399
270	38305
271	24249
272	70324
273	45917
274	57427
275	59701
276	37567
277	37568
278	67924
279	56790
280	25156
281	44805
282	41742
283	54488
284	25066
285	62338
286	38243
287	24658
288	47217
289	54258
290	67179
291	31289
292	28253
293	25719
294	72580
295	55406
296	44694
297	44695
298	50002
299	71752
300	26756
301	42927
302	37247
303	33321
304	36143
305	64695
306	34580
307	33134
308	26314
309	64792
310	46047
311	64224
312	46109
313	31035
314	33282
315	60852
316	46615
317	36883
318	70644
319	35615
320	38197
321	25373
322	50770
323	35721
324	31278
325	69868
326	56764
327	24659
328	73235
329	43544
330	52345
331	29922
332	29923
333	29924
334	64390
335	41667
336	59262
337	31078
338	41519
339	47733
340	27200
341	36473
342	37828
343	35050
344	68446
345	49615
346	34334
347	42467
348	42468
349	52078
350	40199
351	44536
352	46554
353	40766
354	31953
355	57659
356	54256
357	49177
358	49178
359	42262
360	48134
361	42337
362	59431
363	33715
364	37705
365	29925
366	46956
367	37130
368	48563
369	56525
370	31698
371	28011
372	49598
373	25634
374	28565
375	55166
376	25474
377	33283
378	49179
379	30769
380	62207
381	36389
382	52054
383	64530
384	49161
385	47830
386	30228
387	43369
388	71583
389	45123
390	54312
391	60919
392	26048
393	38306
394	37410
395	45614
396	73848
397	36375
398	43506
399	31371
400	31079
401	49142
402	38425
403	26541
404	58503
405	55571
406	36569
407	54175
408	29555
409	58271
410	40271
411	40122
412	32125
413	38540
414	33687
415	41063
416	33450
417	66493
418	53847
419	53848
420	32908
421	51992
422	26533
423	67682
424	57195
425	28522
426	47874
427	43057
428	57196
429	24310
430	32297
431	36474
432	51004
433	66451
434	58524
435	64953
436	27172
437	26757
438	46616
439	40200
440	74486
441	50771
442	66305
443	46048
444	43085
445	34252
446	32503
447	25000
448	72051
449	44194
450	47276
451	38426
452	29333
453	39931
454	27227
455	73885
456	50868
457	50659
458	31618
459	30484
460	24966
461	55361
462	35051
463	43823
464	36594
465	39106
466	26231
467	47572
468	32948
469	37038
470	47334
471	26758
472	72008
473	64008
474	67854
475	26759
476	73887
477	59579
478	56234
479	47016
480	27327
481	34581
482	58680
483	60643
484	27328
485	40886
486	28492
487	46399
488	39726
489	48689
490	24660
491	30899
492	47024
493	36784
494	30136
495	26676
496	61329
497	29644
498	58272
499	71711
500	55779
501	53151
502	37829
503	73670
504	55023
505	48085
506	73636
507	64696
508	39806
509	64423
510	40201
511	61770
512	37359
513	39425
514	36475
515	70903
516	43599
517	56673
518	58177
519	32666
520	60419
521	36476
522	31068
523	52485
524	25436
525	31007
526	50127
527	33259
528	29323
529	32504
530	28254
531	51535
532	32111
533	30193
534	72009
535	31764
536	59693
537	35036
538	64351
539	39966
540	39967
541	35803
542	47734
543	67116
544	35414
545	42122
546	32139
547	36200
548	53018
549	52994
550	51191
551	26542
552	39807
553	37344
554	56436
555	43327
556	62339
557	28994
558	26640
559	53264
560	57446
561	38494
562	31069
563	42308
564	32505
565	35278
566	30485
567	47735
568	34016
569	30982
570	47875
571	54561
572	51609
573	56156
574	47736
575	35804
576	34138
577	48248
578	41707
579	47854
580	50084
581	54961
582	30486
583	38993
584	45234
585	33213
586	63943
587	64272
588	48630
589	40045
590	43779
591	47737
592	38736
593	29556
594	26760
595	53005
596	50227
597	31554
598	49845
599	29746
600	29645
601	45429
602	42489
603	41064
604	51993
605	24661
606	52802
607	69947
608	67950
609	27329
610	26761
611	58662
612	34253
613	51548
614	49180
615	34994
616	59380
617	46543
618	74005
619	27429
620	26049
621	73236
622	35991
623	74289
624	54236
625	49005
626	32153
627	33385
628	39968
629	60447
630	36884
631	73890
632	32949
633	38632
634	73891
635	39146
636	67865
637	25265
638	32611
639	55182
640	30487
641	62846
642	73383
643	68770
644	58273
645	59307
646	31080
647	42044
648	63133
649	59381
650	46096
651	55498
652	70648
653	42582
654	55844
655	37131
656	58144
657	43069
658	64240
659	41065
660	28929
661	54793
662	68468
663	33241
664	58525
665	45747
666	74311
667	37830
668	68130
669	68131
670	52059
671	52060
672	52124
673	32821
674	28962
675	31350
676	55729
677	40767
678	59432
679	63464
680	32298
681	51664
682	57630
683	29588
684	33567
685	56394
686	72581
687	38481
688	26620
689	51665
690	40284
691	29298
692	38532
693	64196
694	25279
695	73758
696	36390
697	50947
698	40853
699	50684
700	38052
701	46663
702	35847
703	25817
704	27330
705	68791
706	36885
707	70219
708	25067
709	44310
710	38633
711	58940
712	47277
713	49101
714	54433
715	36744
716	74319
717	60741
718	27201
719	66190
720	58736
721	40071
722	60289
723	65745
724	53756
725	68135
726	68136
727	29557
728	47124
729	68137
730	52038
731	52039
732	52040
733	60920
734	48373
735	31351
736	49162
737	31352
738	39490
739	73312
740	29558
741	68140
742	32568
743	25589
744	39491
745	53084
746	46412
747	43123
748	34359
749	24406
750	47650
751	26762
752	33540
753	29121
754	67275
755	36477
756	36145
757	26007
758	47868
759	70989
760	52139
761	28566
762	53152
763	54664
764	47876
765	57391
766	39572
767	48436
768	25220
769	48278
770	51745
771	39492
772	41573
773	61953
774	42858
775	37658
776	67181
777	38994
778	37946
779	55382
780	72010
781	31954
782	26605
783	24420
784	31322
785	62678
786	31502
787	29646
788	34360
789	66011
790	41971
791	41972
792	58033
793	72011
794	41973
795	56929
796	37706
797	25842
798	25843
799	49298
800	29647
801	38917
802	40597
803	38053
804	54284
805	59809
806	47125
807	39493
808	42135
809	44352
810	44353
811	51666
812	48374
813	52041
814	29407
815	45168
816	41967
817	45169
818	68722
819	32154
820	31626
821	51058
822	33541
823	30428
824	32452
825	47104
826	46413
827	70906
828	60738
829	57778
830	26328
831	47143
832	33702
833	35553
834	40598
835	40937
836	47087
837	62191
838	51592
839	25818
840	27331
841	51051
842	56526
843	70318
844	55288
845	57428
846	40285
847	37491
848	24820
849	74626
850	49045
851	39494
852	31933
853	37450
854	26677
855	69869
856	30229
857	27924
858	24191
859	73638
860	32608
861	37132
